Requirement_Number,Description
3.2.1.1,The system must receive all emergency and non- emergency calls terminated by the providers on the NG-911 system SIP interfaces
3.2.1.2,All Calls must be processed by the NG-911 Communication System
3.2.1.3,All calls must be processed by the Interactive Voice Response System
3.2.1.4,All calls must be processed by the Automatic Call distribution
3.2.1.5,"All calls must be primary displayed within the individual Computer Telephony Integration (CTI) client of the individual call taker, and only secondary signalized on the associated desktop VoIP phone (as a fallback routing step)."
3.2.1.6,The CTI must contain the calling queue of the individual client.
3.2.1.7,The CTI must have direct interaction with the Incident Creation Application.
3.2.1.8,"The NG-911 Communication system must retrieve / collect / query all available call associated data at the individual databases or connected systems. The collection of this data shall be done in an asynchronous way so that the call can be processed by the corresponding client immediately, whereas additional data can be added to the call as it becomes available (in case the query of an external system lasts longer)."
3.2.1.9,The NG-911 Communication System must forward / display all call associated data at the individual sections of the incident creation application
3.2.1.10,The NG-911 Communication System respective the Incident Creation Application has to ensure that geographical data in connection with the call is being displayed by the Geographical Information system (GIS).
3.2.1.11,All calls of the NG-911 Communication System must be recorded (voice as well as related meta- data).
3.2.1.12,All calls must be processed in the incident creation system by the call takers.
3.2.1.13,"The incident creation application must provide support functionality to the Call-taker. This shall include at least a support in the verification of the location, the type of incident and the responsible PSO for that incident."
3.2.1.14,The incident creation application must provide together with the NG- 911 Communication system the function of engaging a second person (specialist) in the ongoing call. (supervisor-assist)
3.2.1.15,"A second person (specialist) must be able to intervene in an NG-911 Call actively (barge-in). For this, the incident creation system must ensure all collected data is available at all clients filtered by location, type of call /incident and user rights."
3.2.1.16,When the incident creation is concluded or the collected data is sufficient for the definition of the responsible PSO the incident must be ready for coordination displayed at the respective incident management clients.
3.2.1.17,The incident management application has to support the coordinator in the selection of the correct PSO respective resource.
3.2.1.18,The incident management application has to provide the display of all relevant geographical assigned data of the incident but also of selectable PSO or resources on the GIS.
3.2.1.19,"Other supplementary objects in relation to the individual incident (based on type) shall be displayed on the GIS (e.g. CCTV, AED, First Aid posts, equipment deposits, first responders, etc.). These elements as well as the different types shall be configurable by an administrator of the system in order to optimize/enhance the system by his own during live operations."
3.2.1.20,The coordinator must be able to assign the needed PSO respective resources to the incident.
3.2.1.21,"The incident management system must initialize the defined communication channels (e.g. email, SMS, SDS, voice via PEI, voice via outbound call,) to ensure the assigned PSO, respective resource is being informed on the new assigned incident."
3.2.1.22,"The incident management system must manage the individual status of the incident. This status must also be able to be changed by 3rd party systems (e.g. Field Record Management applications, Radio Status, GIS settings)"
3.2.1.23,For all calls a detailed Statistic function must be available (Call Detail Records). This shall include at a minimum (but not be limited to) statistics by o Called number o Date/Time o Combination of those two criteria The Statistics function shall include an open and documented interface + data Modell in order to setup individual reports based on the collected data.
